hotel_id,hotel_name,n_comment,n_star,url,Price
85,Dorsett City London,643,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d12437245-Reviews-Dorsett_City_London-London_England.html,£203
86,Kip Hotel,312,3.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d9990292-Reviews-Kip_Hotel-London_England.html,£74
87,Radisson Blu Edwardian Vanderbilt,4944,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192118-Reviews-Radisson_Blu_Edwardian_Vanderbilt-London_England.html,£158
88,The Hide London,1072,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1886452-Reviews-The_Hide_London-London_England.html,£108
89,Waterloo Hub Hotel & Suites,3208,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193058-Reviews-Waterloo_Hub_Hotel_Suites-London_England.html,£99
90,Ibis London City - Shoreditch Hotel,4774,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d555057-Reviews-Ibis_London_City_Shoreditch_Hotel-London_England.html,£111
91,"Point A Hotel, London Liverpool Street",4112,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d2458180-Reviews-Point_A_Hotel_London_Liverpool_Street-London_England.html,£115
92,ibis Budget London Whitechapel - Brick Lane,4213,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d3296647-Reviews-Ibis_Budget_London_Whitechapel_Brick_Lane-London_England.html,£56
93,K West Hotel & Spa,3926,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192086-Reviews-K_West_Hotel_Spa-London_England.html,£131
94,Heeton Concept Hotel-Luma Hammersmith,491,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d12146171-Reviews-Heeton_Concept_Hotel_Luma_Hammersmith-London_England.html,£99
95,DoubleTree by Hilton London Angel Kings Cross (Formerly Islington),2794,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192030-Reviews-DoubleTree_by_Hilton_London_Angel_Kings_Cross_Formerly_Islington-London_England.html,£155
96,Travelodge London Waterloo Hotel,1208,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1812157-Reviews-Travelodge_London_Waterloo_Hotel-London_England.html,£129
97,SponsoredThe Prince Akatoki London,71,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d1626349-Reviews-The_Prince_Akatoki_London-London_England.html,£383
98,The Ritz London,4817,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d187591-Reviews-The_Ritz_London-London_England.html,£579
99,Hotel 41,3406,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d188961-Reviews-Hotel_41-London_England.html,£327
100,Page8,25,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d18939649-Reviews-Page8-London_England.html,£383
101,The Hoxton Southwark,190,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d17544824-Reviews-The_Hoxton_Southwark-London_England.html,£156
102,The Marylebone,4925,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193617-Reviews-The_Marylebone-London_England.html,£246
103,SponsoredSouth Place Hotel,1467,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d3437751-Reviews-South_Place_Hotel-London_England.html,£260
104,The Bloomsbury,4410,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d209229-Reviews-The_Bloomsbury-London_England.html,£257
105,The Ampersand Hotel,4367,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d2554997-Reviews-The_Ampersand_Hotel-London_England.html,£244
106,Pullman London St Pancras Hotel,5591,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192068-Reviews-Pullman_London_St_Pancras_Hotel-London_England.html,£206
107,The Resident Victoria (formerly The Nadler Victoria),1921,5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d8625676-Reviews-The_Resident_Victoria_formerly_The_Nadler_Victoria-London_England.html,£180
108,Melia White House,8919,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d199872-Reviews-Melia_White_House-London_England.html,£164
109,Crowne Plaza London - The City,2957,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d293286-Reviews-Crowne_Plaza_London_The_City-London_England.html,£187
110,"Radisson Blu Edwardian London, Bloomsbury Street",3709,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d188029-Reviews-Radisson_Blu_Edwardian_London_Bloomsbury_Street-London_England.html,£193
111,Radisson Blu Edwardian New Providence Wharf Hotel,4710,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d651411-Reviews-Radisson_Blu_Edwardian_New_Providence_Wharf_Hotel-London_England.html,£157
112,Hilton London Angel Islington,2079,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193036-Reviews-Hilton_London_Angel_Islington-London_England.html,£164
113,New Road Hotel,475,4.5 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d12971308-Reviews-New_Road_Hotel-London_England.html,£108
114,Radisson Blu Edwardian Grafton Hotel,5750,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d192261-Reviews-Radisson_Blu_Edwardian_Grafton_Hotel-London_England.html,£166
115,Citadines Trafalgar Square London,2895,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d193043-Reviews-Citadines_Trafalgar_Square_London-London_England.html,£284
116,DoubleTree by Hilton Hotel London - Docklands Riverside,2874,4 of 5 bubbles,https://www.tripadvisor.com/Hotel_Review-g186338-d199849-Reviews-DoubleTree_by_Hilton_Hotel_London_Docklands_Riverside-London_England.html,£127
